GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
6037533300,3518,26.3,97.4,1.7,0.3,0,49.2,52.3,283100,3.5,29.5,82.1,1.3,3.87,896 (USD),"$32,271 ",28.8,78.6,28.6,19.5,92.4,3.6,4.2,37.6
6037533702,3654,30,99.2,0.1,0.2,15,51.5,51.7,362300,4,15.7,80,0,4.19,1105 (USD),"$35,000 ",31,67,30.1,17.2,97.7,3.1,4.6,51.9
6037503000,5757,29.7,92.1,3.3,0,226,50.2,84.1,368900,4.6,6.3,44.4,0,4.72,1264 (USD),"$47,058 ",28,72.5,28.8,18.1,95.5,9.8,30.7,34.2
6037503301,3150,37.8,61.9,34.4,1.2,18,48.2,98,443600,5.8,1.1,10.5,0,1.99,1929 (USD),"$84,603 ",32.9,86.5,8.2,28.4,96.6,21.2,72.6,8.4
6037504001,5962,21.6,34.1,45.1,0.9,856,43.2,77,472700,5.5,0,29.2,0,2.4,1381 (USD),"$72,708 ",26.6,62.2,11.2,83,78.7,37.8,65.7,16.1
6037530006,4091,33.9,63.4,13.2,0.6,814,47.6,14.5,537800,3.9,4.3,77.9,10.3,2.88,1375 (USD),"$60,473 ",33.5,75.3,10.2,30.9,89.1,32.2,30.2,38.7
6037530202,4429,37.5,89.7,4.2,0,271,46.6,78,423900,5.5,6.1,31.3,6.3,3.83,1144 (USD),"$64,493 ",32,78.9,5.2,41.4,97.1,17.9,24,29.7
6037530601,3171,30.5,95.6,2.9,0,42,48.9,59.7,354400,5.2,18.4,49,9.4,4.07,1098 (USD),"$49,625 ",28.1,69.6,18.4,36.8,92.6,9.3,12.6,32.4
6037531102,3438,28.7,97.7,2,0,0,46.9,51.8,363800,4.9,15.9,79,1.4,3.61,1089 (USD),"$37,625 ",28.3,70.8,27.9,28.1,93.3,9.1,11.2,36.9
6037531602,5017,30.3,97.7,1.2,0,0,50,69.9,345400,4.5,28.2,74.1,0,4.17,1038 (USD),"$31,771 ",30.1,64,30.3,26.6,90.7,5.1,14.3,38.2
6037531702,4676,30.8,97,2.3,0,27,51.5,43.9,359800,4.4,21.9,75.1,1.5,3.43,1091 (USD),"$37,862 ",28.5,73,26.7,31.6,97.1,4.6,7.8,43.9
6037531902,4317,32.3,95.1,4.9,0,0,50.8,64.8,348200,4.3,13.1,50.8,0,3.79,1107 (USD),"$48,995 ",30.1,76,17.4,31.5,95.4,10.7,20.8,37
6037532200,6553,35.1,90.7,1.8,1,421,53.5,40.7,402200,4.2,2.5,66.8,11.3,3.84,1192 (USD),"$46,875 ",32.6,70.8,12.3,24.3,94.2,7.2,21.9,44.1
6037532303,4494,37.2,93.6,2.8,0.7,91,49.5,69.6,357300,5,10,52.9,0,3.16,1087 (USD),"$46,429 ",26.4,74.5,11.9,27.2,91.4,10.3,33.8,27.2
6037532700,3225,28.9,94.6,1.7,3.4,7,54.1,66,293500,4.2,33.8,66,2.9,4.76,1122 (USD),"$43,702 ",31.5,72.8,21.6,21.5,90.4,0.4,11.5,49.4
6037533103,3156,29.2,96.2,2.2,0,53,47.3,30.5,359800,3.2,27.5,87.5,0.8,3.56,933 (USD),"$32,868 ",30.9,56.9,35.1,22.8,92.9,6,11.4,43.7
6037533203,2087,28,97.7,0.4,0,38,52.3,37.6,341400,4,18.8,70.6,0,4.55,970 (USD),"$36,719 ",28.3,55.4,24.1,18.4,96,3.9,3.4,48.5
6037533602,5602,28.7,93.5,1.8,0,84,52.3,43.5,366800,3.9,14.8,73.2,1.9,3.64,1038 (USD),"$38,319 ",28.5,73,22.8,23.7,94.8,8.3,4.1,46
6037535400,3193,26.5,90.7,0.9,6.5,51,47.1,69.6,256700,4.5,41.9,70.1,0,4.1,1154 (USD),"$36,713 ",33.6,76.4,31.2,7.2,95.1,4.5,17.1,37
6037535607,5075,27.9,98.4,1,0.6,0,48.3,66.8,339000,4.5,8.9,40.7,0,4.47,992 (USD),"$40,982 ",31.6,66.3,23.6,24.8,92.6,7,7.5,45.6
6037530602,1529,36.3,90.5,2,0.4,108,48.3,68.9,357300,5.3,22.9,42,0,3.27,1194 (USD),"$66,458 ",27.7,87.9,11.6,39.5,96.4,12.9,15,28.1
6037532605,3723,34.5,95,1.6,1.8,46,45.1,14.9,332100,3.3,6.6,82.7,2,3.34,912 (USD),"$25,313 ",32.2,68.3,35.2,33.8,94.1,1.7,8,51.1
6037535502,5202,30,96.3,2.3,0.9,27,47.1,49.7,472200,4.1,24.1,73.4,1.9,3.78,1076 (USD),"$45,659 ",30.3,64.7,21.6,29.8,80.7,5.7,7.9,47.6
6037540600,4868,25.1,60.2,0.1,39,0,55.1,49.7,246500,4.5,20.8,63.9,3.2,3.65,1107 (USD),"$31,162 ",29.6,68.8,27.3,15.4,84.1,3.6,45,24.5
6037543802,6667,36.5,35.1,4.2,10.2,2957,47.9,49.5,431500,4.9,7.4,52.4,0,3.34,1393 (USD),"$72,708 ",25.2,68,10,39.2,90.2,22.2,40,40.2
6037551900,5095,38.8,66,10.4,5.1,912,50,78.9,364300,5.1,0.5,27.7,6.2,3.7,1471 (USD),"$67,981 ",30.7,84.7,8,36.5,93.3,17.5,43.4,37.1
6037554001,3728,37.9,56.4,23.5,5.2,531,51.3,87.6,430000,5.2,3.9,38,13.2,3.15,1250 (USD),"$52,285 ",26.9,82.1,13.5,40.2,96.2,10.9,45.6,29.9
6037602003,4483,31.9,84.1,1.1,11,85,48.2,57.5,370100,4.4,16.1,60.9,0,3.33,1249 (USD),"$41,351 ",29,70.1,23.8,24.6,86,8.2,16.4,43.1
6037553902,5629,32.4,77.8,10.7,8,120,53.8,40.3,284500,4.2,3.9,71.9,4.4,3.48,1299 (USD),"$46,349 ",25.8,75.9,24.8,26.7,91.4,12.2,29.7,34.7
